PULocationID,fare_per_mile,PUZone,PUBorough
3,7.012649572649573,Allerton/Pelham Gardens,Bronx
4,9.572727272727274,Alphabet City,Manhattan
5,3.554,Arden Heights,Staten Island
6,4.076666666666667,Arrochar/Fort Wadsworth,Staten Island
7,11.106923076923078,Astoria,Queens
8,17.136000000000003,Astoria Park,Queens
9,6.6225862068965515,Auburndale,Queens
10,18.36057142857143,Baisley Park,Queens
11,9.609607843137255,Bath Beach,Brooklyn
13,5.18,Battery Park City,Manhattan
14,22.65487951807229,Bay Ridge,Brooklyn
15,10.006,Bay Terrace/Fort Totten,Queens
16,11.667272727272728,Bayside,Queens
17,24.193638211382115,Bedford,Brooklyn
18,21.92082251082251,Bedford Park,Bronx
19,5.675540540540541,Bellerose,Queens
20,28.256646341463416,Belmont,Bronx
21,7.569838709677419,Bensonhurst East,Brooklyn
22,9.538360655737705,Bensonhurst West,Brooklyn
23,4.5520481927710845,Bloomfield/Emerson Hill,Staten Island
24,6.813349753694581,Bloomingdale,Manhattan
25,11.489896193771626,Boerum Hill,Brooklyn
26,9.634369369369368,Borough Park,Brooklyn
27,4.184545454545455,Breezy Point/Fort Tilden/Riis Beach,Queens
28,13.41875,Briarwood/Jamaica Hills,Queens
29,7.362585034013605,Brighton Beach,Brooklyn
30,5.66,Broad Channel,Queens
31,5.9863333333333335,Bronx Park,Bronx
32,13.981756756756758,Bronxdale,Bronx
33,6.721900584795321,Brooklyn Heights,Brooklyn
34,5.646756756756757,Brooklyn Navy Yard,Brooklyn
35,33.68981087470449,Brownsville,Brooklyn
36,6.177876106194691,Bushwick North,Brooklyn
37,8.647974137931033,Bushwick South,Brooklyn
38,8.945180722891568,Cambria Heights,Queens
39,14.460181818181818,Canarsie,Brooklyn
40,13.87593103448276,Carroll Gardens,Brooklyn
41,9.259105465414176,Central Harlem,Manhattan
42,9.861670934699104,Central Harlem North,Manhattan
43,8.796403162055336,Central Park,Manhattan
44,21.524,Charleston/Tottenville,Staten Island
45,5.890714285714286,Chinatown,Manhattan
46,3.734814814814815,City Island,Bronx
47,7.586944444444445,Claremont/Bathgate,Bronx
48,6.373953488372092,Clinton East,Manhattan
49,8.659541666666666,Clinton Hill,Brooklyn
50,5.348846153846154,Clinton West,Manhattan
51,6.839610894941634,Co-Op City,Bronx
52,6.899482401656314,Cobble Hill,Brooklyn
53,4.0724,College Point,Queens
54,21.12095238095238,Columbia Street,Brooklyn
55,21.006870229007635,Coney Island,Brooklyn
56,8.454651162790698,Corona,Queens
56,8.454651162790698,Corona,Queens
58,3.915,Country Club,Bronx
59,6.376250000000001,Crotona Park,Bronx
60,23.165904761904763,Crotona Park East,Bronx
61,26.20190476190476,Crown Heights North,Brooklyn
62,29.996693548387096,Crown Heights South,Brooklyn
63,10.48017857142857,Cypress Hills,Brooklyn
64,4.532307692307692,Douglaston,Queens
65,7.4490759075907595,Downtown Brooklyn/MetroTech,Brooklyn
66,6.401011235955057,DUMBO/Vinegar Hill,Brooklyn
67,12.499183673469389,Dyker Heights,Brooklyn
68,6.187169811320755,East Chelsea,Manhattan
69,9.768395604395604,East Concourse/Concourse Village,Bronx
70,7.46564705882353,East Elmhurst,Queens
71,39.34415032679738,East Flatbush/Farragut,Brooklyn
72,37.254699140401144,East Flatbush/Remsen Village,Brooklyn
73,6.026315789473684,East Flushing,Queens
74,8.906043347936363,East Harlem North,Manhattan
75,8.557460401267159,East Harlem South,Manhattan
76,25.427315233785823,East New York,Brooklyn
77,32.86890510948905,East New York/Pennsylvania Avenue,Brooklyn
78,50.36732456140351,East Tremont,Bronx
79,5.927619047619048,East Village,Manhattan
80,61.498585858585855,East Williamsburg,Brooklyn
81,9.316746987951808,Eastchester,Bronx
82,10.344072337575351,Elmhurst,Queens
83,9.345357142857143,Elmhurst/Maspeth,Queens
84,3.67,Eltingville/Annadale/Prince's Bay,Staten Island
85,8.610643564356437,Erasmus,Brooklyn
86,26.694009009009008,Far Rockaway,Queens
87,4.777,Financial District North,Manhattan
88,8.751428571428571,Financial District South,Manhattan
89,21.644295154185023,Flatbush/Ditmas Park,Brooklyn
90,19.449,Flatiron,Manhattan
91,25.45548275862069,Flatlands,Brooklyn
92,44.28713004484305,Flushing,Queens
93,4.62484375,Flushing Meadows-Corona Park,Queens
94,9.320238095238095,Fordham South,Bronx
95,10.731817423926637,Forest Hills,Queens
96,14.063529411764705,Forest Park/Highland Park,Queens
97,12.050087158628704,Fort Greene,Brooklyn
98,14.39875,Fresh Meadows,Queens
99,3.35,Freshkills Park,Staten Island
100,6.6113333333333335,Garment District,Manhattan
101,5.432857142857143,Glen Oaks,Queens
102,11.465096153846154,Glendale,Queens
106,10.420320512820512,Gowanus,Brooklyn
107,6.425,Gramercy,Manhattan
108,6.599026548672567,Gravesend,Brooklyn
111,6.11,Green-Wood Cemetery,Brooklyn
112,7.25062937062937,Greenpoint,Brooklyn
113,4.562,Greenwich Village North,Manhattan
114,3.615,Greenwich Village South,Manhattan
115,3.7330434782608695,Grymes Hill/Clifton,Staten Island
116,9.934812703583063,Hamilton Heights,Manhattan
117,15.544173913043478,Hammels/Arverne,Queens
118,5.5125,Heartland Village/Todt Hill,Staten Island
119,7.981568047337278,Highbridge,Bronx
120,32.81733333333334,Highbridge Park,Manhattan
121,8.78715909090909,Hillcrest/Pomonok,Queens
122,26.096704545454543,Hollis,Queens
123,12.756043165467627,Homecrest,Brooklyn
124,6.831363636363636,Howard Beach,Queens
125,4.493333333333333,Hudson Sq,Manhattan
126,6.280551181102362,Hunts Point,Bronx
127,12.719898648648648,Inwood,Manhattan
128,5.227586206896552,Inwood Hill Park,Manhattan
129,13.59757322175732,Jackson Heights,Queens
130,10.07607787274454,Jamaica,Queens
131,10.908243243243243,Jamaica Estates,Queens
132,3.5732,JFK Airport,Queens
133,8.630631578947368,Kensington,Brooklyn
134,12.907255278310942,Kew Gardens,Queens
135,20.147263157894738,Kew Gardens Hills,Queens
136,6.789717314487633,Kingsbridge Heights,Bronx
137,5.071803278688525,Kips Bay,Manhattan
138,797.3871428571429,LaGuardia Airport,Queens
