,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,day_of_week,day_of_month,hour_of_day,trip_duration,total_without_tip,fare_per_mile
passenger_count,1.0,0.020352051373510854,0.023000136975307655,0.021611680965261063,0.002521616147742894,0.0061722314971905615,0.009827211976684383,0.0011468437518929104,0.01869751030453652,0.006405437528408433,0.0005041927293362243,0.03080937606957606,0.019329998897512288,0.020690104557452356,0.039759704229985524,0.010913741439335843,0.018588139431759448,0.00016508831345606525
trip_distance,0.020352051373510854,1.0,0.9504660363371349,0.004716659519488781,0.017328785001608907,0.20105392540781952,0.6113123228009243,0.006729227312104639,0.940572115122678,0.18401571115589793,0.007051322048113458,0.04786793088133568,0.007531062298184633,0.0012189762845575657,0.028741736932407565,0.14432946957415183,0.9531621364040049,0.05534396951761173
fare_amount,0.023000136975307655,0.9504660363371349,1.0,0.0002546513414620874,0.09297645416530351,0.1994584730609591,0.5708717182857299,0.01984835545110871,0.9793200885248807,0.18871671689454483,0.08246723662152079,0.03288655870140476,0.0032227397155033385,0.0012863200940145213,0.02290536779388137,0.15936943237006837,0.994061780187521,0.032114992193497845
extra,0.021611680965261063,0.004716659519488781,0.0002546513414620874,1.0,0.09457545756677804,0.08151008191288463,0.027839320837578767,0.011819328749029842,0.044074836598905716,0.05786751758705239,0.09074080149802441,0.23510216306735504,0.11543286743806574,0.009076019347803516,0.26829975679961954,0.011009776827948441,0.032747365930472144,0.020258802476210574
mta_tax,0.002521616147742894,0.017328785001608907,0.09297645416530351,0.09457545756677804,1.0,0.026166453586141027,0.0005067397681621672,0.12401107908089125,0.07460282261718941,0.03309527743024981,0.9490315681079472,0.06522528996009153,0.031232867186593946,0.000509898550375529,0.007332853051950744,0.005872315709496079,0.0739119581997916,0.1946754631796728
tip_amount,0.0061722314971905615,0.20105392540781952,0.1994584730609591,0.08151008191288463,0.026166453586141027,1.0,0.11198703212763063,0.007772776507907649,0.36669755845469465,0.47291636970867373,0.023253740066043332,0.27108358082604783,0.0071173100205401095,0.02413086510954593,0.020565557357553388,0.022822300444201735,0.21924806739996847,0.004364342289697428
tolls_amount,0.009827211976684383,0.6113123228009243,0.5708717182857299,0.027839320837578767,0.0005067397681621672,0.11198703212763063,1.0,0.004773151929344524,0.6150770977751989,0.11993488629843232,0.013312122829565537,0.06536138978575955,0.00221412875568453,0.005263649765524434,0.03273497243805772,0.08554437608730066,0.6265322244672348,0.017086095408972563
improvement_surcharge,0.0011468437518929104,0.006729227312104639,0.01984835545110871,0.011819328749029842,0.12401107908089125,0.007772776507907649,0.004773151929344524,1.0,0.017230714027258058,0.008397653960001032,0.1299401202117326,0.011412360443590144,0.00396176661796638,0.013004066447658308,0.007869700958735374,0.0013661117475349323,0.016785280642918184,0.0026679841557418595
total_amount,0.01869751030453652,0.940572115122678,0.9793200885248807,0.044074836598905716,0.07460282261718941,0.36669755845469465,0.6150770977751989,0.017230714027258058,1.0,0.2692057585582048,0.06399424172799628,0.13956153303013494,0.003958704879356639,0.006148899098921339,0.009378394530290178,0.1539136349362933,0.9881019673773381,0.022717243461618363
payment_type,0.006405437528408433,0.18401571115589793,0.18871671689454483,0.05786751758705239,0.03309527743024981,0.47291636970867373,0.11993488629843232,0.008397653960001032,0.2692057585582048,1.0,0.03140052232674721,0.19124473192684427,0.006889808560552389,0.015865677992361212,0.019857404931587837,0.024774959081578757,0.2041415800342119,0.008376969360089019
trip_type,0.0005041927293362243,0.007051322048113458,0.08246723662152079,0.09074080149802441,0.9490315681079472,0.023253740066043332,0.013312122829565537,0.1299401202117326,0.06399424172799628,0.03140052232674721,1.0,0.06431653618299368,0.03204531572866181,0.004042173756536141,0.005993012220273188,0.004909887787141473,0.063268014114472,0.18846352569448596
congestion_surcharge,0.03080937606957606,0.04786793088133568,0.03288655870140476,0.23510216306735504,0.06522528996009153,0.27108358082604783,0.06536138978575955,0.011412360443590144,0.13956153303013494,0.19124473192684427,0.06431653618299368,1.0,0.02330541978309796,0.016751265031180813,0.005670246067150206,0.0020479111413138355,0.10154690917614694,0.030862502361708833
day_of_week,0.019329998897512288,0.007531062298184633,0.0032227397155033385,0.11543286743806574,0.031232867186593946,0.0071173100205401095,0.00221412875568453,0.00396176661796638,0.003958704879356639,0.006889808560552389,0.03204531572866181,0.02330541978309796,1.0,0.017669893671763193,0.01400314363877163,0.0004885837984742746,0.0029749789121363704,0.0034625632305338395
