DOLocationID,Count,DOZone,DOBorough
1,32,Newark Airport,EWR
2,1,Jamaica Bay,Queens
3,125,Allerton/Pelham Gardens,Bronx
4,116,Alphabet City,Manhattan
5,27,Arden Heights,Staten Island
6,7,Arrochar/Fort Wadsworth,Staten Island
7,849,Astoria,Queens
8,8,Astoria Park,Queens
9,65,Auburndale,Queens
10,276,Baisley Park,Queens
11,97,Bath Beach,Brooklyn
12,5,Battery Park,Manhattan
13,61,Battery Park City,Manhattan
14,392,Bay Ridge,Brooklyn
15,32,Bay Terrace/Fort Totten,Queens
16,96,Bayside,Queens
17,609,Bedford,Brooklyn
18,277,Bedford Park,Bronx
19,68,Bellerose,Queens
20,177,Belmont,Bronx
21,117,Bensonhurst East,Brooklyn
22,190,Bensonhurst West,Brooklyn
23,104,Bloomfield/Emerson Hill,Staten Island
24,422,Bloomingdale,Manhattan
25,496,Boerum Hill,Brooklyn
26,232,Borough Park,Brooklyn
27,13,Breezy Point/Fort Tilden/Riis Beach,Queens
28,367,Briarwood/Jamaica Hills,Queens
29,111,Brighton Beach,Brooklyn
30,5,Broad Channel,Queens
31,79,Bronx Park,Bronx
32,157,Bronxdale,Bronx
33,486,Brooklyn Heights,Brooklyn
34,46,Brooklyn Navy Yard,Brooklyn
35,453,Brownsville,Brooklyn
36,159,Bushwick North,Brooklyn
37,355,Bushwick South,Brooklyn
38,85,Cambria Heights,Queens
39,423,Canarsie,Brooklyn
40,220,Carroll Gardens,Brooklyn
41,2477,Central Harlem,Manhattan
42,2831,Central Harlem North,Manhattan
43,722,Central Park,Manhattan
44,9,Charleston/Tottenville,Staten Island
45,104,Chinatown,Manhattan
46,42,City Island,Bronx
47,305,Claremont/Bathgate,Bronx
48,431,Clinton East,Manhattan
49,616,Clinton Hill,Brooklyn
50,183,Clinton West,Manhattan
51,476,Co-Op City,Bronx
52,131,Cobble Hill,Brooklyn
53,66,College Point,Queens
54,52,Columbia Street,Brooklyn
55,382,Coney Island,Brooklyn
56,353,Corona,Queens
56,353,Corona,Queens
58,13,Country Club,Bronx
59,19,Crotona Park,Bronx
60,139,Crotona Park East,Bronx
61,1120,Crown Heights North,Brooklyn
62,252,Crown Heights South,Brooklyn
63,137,Cypress Hills,Brooklyn
64,30,Douglaston,Queens
65,314,Downtown Brooklyn/MetroTech,Brooklyn
66,218,DUMBO/Vinegar Hill,Brooklyn
67,115,Dyker Heights,Brooklyn
68,293,East Chelsea,Manhattan
69,525,East Concourse/Concourse Village,Bronx
70,226,East Elmhurst,Queens
71,264,East Flatbush/Farragut,Brooklyn
72,347,East Flatbush/Remsen Village,Brooklyn
73,27,East Flushing,Queens
74,3560,East Harlem North,Manhattan
75,3032,East Harlem South,Manhattan
76,629,East New York,Brooklyn
77,178,East New York/Pennsylvania Avenue,Brooklyn
78,227,East Tremont,Bronx
79,211,East Village,Manhattan
80,208,East Williamsburg,Brooklyn
