PULocationID,Count,PUZone,PUBorough
3,117,Allerton/Pelham Gardens,Bronx
4,22,Alphabet City,Manhattan
5,25,Arden Heights,Staten Island
6,6,Arrochar/Fort Wadsworth,Staten Island
7,1755,Astoria,Queens
8,5,Astoria Park,Queens
9,58,Auburndale,Queens
10,280,Baisley Park,Queens
11,102,Bath Beach,Brooklyn
13,2,Battery Park City,Manhattan
14,332,Bay Ridge,Brooklyn
15,25,Bay Terrace/Fort Totten,Queens
16,44,Bayside,Queens
17,492,Bedford,Brooklyn
18,231,Bedford Park,Bronx
19,74,Bellerose,Queens
20,164,Belmont,Bronx
21,124,Bensonhurst East,Brooklyn
22,183,Bensonhurst West,Brooklyn
23,83,Bloomfield/Emerson Hill,Staten Island
24,406,Bloomingdale,Manhattan
25,867,Boerum Hill,Brooklyn
26,222,Borough Park,Brooklyn
27,11,Breezy Point/Fort Tilden/Riis Beach,Queens
28,144,Briarwood/Jamaica Hills,Queens
29,147,Brighton Beach,Brooklyn
30,1,Broad Channel,Queens
31,30,Bronx Park,Bronx
32,148,Bronxdale,Bronx
33,1026,Brooklyn Heights,Brooklyn
34,37,Brooklyn Navy Yard,Brooklyn
35,423,Brownsville,Brooklyn
36,113,Bushwick North,Brooklyn
37,232,Bushwick South,Brooklyn
38,83,Cambria Heights,Queens
39,440,Canarsie,Brooklyn
40,145,Carroll Gardens,Brooklyn
41,4684,Central Harlem,Manhattan
42,3124,Central Harlem North,Manhattan
43,1265,Central Park,Manhattan
44,5,Charleston/Tottenville,Staten Island
45,28,Chinatown,Manhattan
46,27,City Island,Bronx
47,288,Claremont/Bathgate,Bronx
48,43,Clinton East,Manhattan
49,480,Clinton Hill,Brooklyn
50,26,Clinton West,Manhattan
51,514,Co-Op City,Bronx
52,483,Cobble Hill,Brooklyn
53,25,College Point,Queens
54,21,Columbia Street,Brooklyn
55,393,Coney Island,Brooklyn
56,215,Corona,Queens
56,215,Corona,Queens
58,8,Country Club,Bronx
59,8,Crotona Park,Bronx
60,105,Crotona Park East,Bronx
61,1050,Crown Heights North,Brooklyn
62,248,Crown Heights South,Brooklyn
63,112,Cypress Hills,Brooklyn
64,13,Douglaston,Queens
65,1515,Downtown Brooklyn/MetroTech,Brooklyn
66,178,DUMBO/Vinegar Hill,Brooklyn
67,98,Dyker Heights,Brooklyn
68,53,East Chelsea,Manhattan
69,455,East Concourse/Concourse Village,Bronx
70,85,East Elmhurst,Queens
71,306,East Flatbush/Farragut,Brooklyn
72,349,East Flatbush/Remsen Village,Brooklyn
73,19,East Flushing,Queens
74,8674,East Harlem North,Manhattan
75,7576,East Harlem South,Manhattan
76,663,East New York,Brooklyn
77,137,East New York/Pennsylvania Avenue,Brooklyn
78,228,East Tremont,Bronx
79,21,East Village,Manhattan
80,198,East Williamsburg,Brooklyn
81,166,Eastchester,Bronx
82,1493,Elmhurst,Queens
83,252,Elmhurst/Maspeth,Queens
